Time,Value,Segment UID
1736469095.5951984,-2.79739003e-07,zero
1736469097.5953453,-8.54067579e-08,zero
1736469099.595406,-1.52269811e-07,zero
1736469101.5955715,-2.48153555e-08,zero
1736469103.5958238,-8.73404448e-08,zero
1736469105.5959504,-3.96429367e-07,zero
1736469107.5960467,-3.2265093e-07,zero
1736469109.5962868,-1.21494901e-07,zero
1736469111.5963817,-2.60174208e-07,zero
1736469113.5965378,-1.16656443e-08,zero
1736469115.5967956,-1.34255655e-07,zero
1736469117.5964494,-2.24776601e-07,zero
1736469119.597168,-2.90666176e-07,zero
1736469121.597331,-4.39299135e-07,zero
1736469123.5973525,-2.86911866e-07,zero
1736469125.5975394,-5.65845536e-07,zero
1736469127.5975652,-2.37880799e-08,zero
1736469129.5979924,-5.24062011e-09,zero
1736469131.5982509,-1.33502614e-07,zero
1736469133.5982304,-1.28078812e-07,zero
1736469135.5979245,-2.07583699e-07,zero
1736469137.5984597,-2.36957088e-07,zero
1736469139.598574,-2.46352698e-07,zero
1736469141.5982406,-4.44900091e-07,zero
1736469143.5983453,-4.464646e-07,zero
1736469145.5991957,-6.27543238e-08,zero
1736469147.5993984,-3.01697692e-07,zero
1736469149.5995865,-2.2858619e-07,zero
1736469151.5995944,-2.18274153e-07,zero
1736469153.599786,-7.94604276e-08,zero
1736469155.6000736,-2.06781391e-06,step_filament_voltages
1736469157.5999374,-2.56780097e-07,step_filament_voltages
1736469159.6001167,-1.27882899e-07,step_filament_voltages
1736469161.6004455,-4.2807548e-07,step_filament_voltages
1736469163.6005747,-1.67657111e-07,step_filament_voltages
1736469165.600816,-5.36895391e-08,step_filament_voltages
1736469167.6009955,4.55911301e-08,step_filament_voltages
1736469169.6009614,1.59029292e-08,step_filament_voltages
1736469171.6003425,-2.90465268e-07,step_filament_voltages
1736469173.6013608,1.63542777e-08,step_filament_voltages
1736469175.6015341,1.72634675e-07,step_filament_voltages
1736469177.6017478,-3.18383385e-07,step_filament_voltages
1736469179.601964,-1.39592455e-07,step_filament_voltages
1736469181.6020923,-3.1954344e-07,step_filament_voltages
1736469183.6023667,-3.15082536e-07,step_filament_voltages
1736469185.6024172,3.6034926e-10,step_filament_voltages
1736469187.602613,-2.46609579e-07,step_filament_voltages
1736469189.6027436,-3.79497734e-07,step_filament_voltages
1736469191.6026115,-1.5606818e-07,step_filament_voltages
1736469193.6030948,9.82606056e-09,step_filament_voltages
1736469195.603231,-2.60343114e-07,step_filament_voltages
1736469197.6033497,-7.95837081e-08,step_filament_voltages
1736469199.6033475,-4.7908121e-08,step_filament_voltages
1736469201.603638,-2.08646583e-07,step_filament_voltages
1736469203.6038961,-4.52998541e-07,step_filament_voltages
1736469205.6040094,-1.13464522e-07,step_filament_voltages
1736469207.6040711,-3.25904684e-07,step_filament_voltages
1736469209.6042845,-3.59455239e-07,step_filament_voltages
1736469211.604367,2.04126805e-08,step_filament_voltages
1736469213.6045127,-1.93383425e-07,step_filament_voltages
1736469215.6047642,-4.74491589e-07,step_filament_voltages
1736469217.6048498,-1.36866858e-07,step_filament_voltages
1736469219.6050682,-2.69877473e-07,step_filament_voltages
1736469221.6052163,-1.44250777e-07,step_filament_voltages
1736469223.6054232,-2.36308324e-07,step_filament_voltages
1736469225.6053817,-3.33553224e-09,step_filament_voltages
1736469227.605581,-2.35833043e-07,step_filament_voltages
1736469229.6057713,-3.06733561e-07,step_filament_voltages
1736469231.6059756,-1.5839343e-07,step_filament_voltages
1736469233.606144,-3.4474353e-07,step_filament_voltages
1736469235.6062155,-2.7075366e-07,step_filament_voltages
1736469237.6063945,-4.52344592e-08,step_filament_voltages
1736469239.6063998,-1.78700111e-07,step_filament_voltages
1736469241.6064641,-1.98751212e-07,step_filament_voltages
1736469243.6067543,-2.25183788e-07,step_filament_voltages
1736469245.6069832,-3.46930545e-07,step_filament_voltages
1736469247.6070979,-2.50123211e-07,step_filament_voltages
1736469249.6065614,-3.76615135e-07,step_filament_voltages
1736469251.6073344,-2.18384968e-07,step_filament_voltages
1736469253.6074593,-1.07986518e-07,step_filament_voltages
1736469255.607576,-4.1105014e-07,step_filament_voltages
1736469257.607758,-2.16400012e-08,step_filament_voltages
1736469259.6079485,-4.2364021e-07,step_filament_voltages
1736469261.608207,-1.75670154e-07,step_filament_voltages
1736469263.6081088,-5.26644239e-07,step_filament_voltages
1736469265.608407,-7.99275485e-08,step_filament_voltages
1736469267.608529,-2.72238937e-07,step_filament_voltages
1736469269.6088438,-3.99670712e-07,step_filament_voltages
1736469271.6088378,-1.82129913e-07,step_filament_voltages
1736469273.6090794,-1.6669419e-07,step_filament_voltages
1736469275.6091354,-3.33230993e-08,step_filament_voltages
1736469277.6093917,-1.86227681e-07,step_filament_voltages
1736469279.6095245,-3.08229828e-07,step_filament_voltages
1736469281.609706,-1.51173236e-07,step_filament_voltages
1736469283.6098292,-3.2660486e-07,step_filament_voltages
1736469285.610109,-2.13326668e-07,step_filament_voltages
1736469287.6103215,-4.95545653e-07,step_filament_voltages
1736469289.6103048,-4.78483451e-08,step_filament_voltages
1736469291.6104095,-1.7097137e-07,step_filament_voltages
1736469293.6106517,-1.18368531e-07,step_filament_voltages
1736469295.6107748,-4.71998021e-07,step_filament_voltages
1736469297.610937,-5.01630482e-07,step_filament_voltages
1736469299.611113,-1.56583001e-07,step_filament_voltages
1736469301.6112628,-7.17797679e-08,step_filament_voltages
1736469303.6113703,-1.02902492e-07,step_filament_voltages
1736469305.6114063,-3.65509883e-07,step_filament_voltages
1736469307.6117742,6.86402174e-08,step_filament_voltages
1736469309.611783,-8.03691493e-08,step_filament_voltages
1736469311.6121178,-3.48073292e-08,step_filament_voltages
1736469313.6122625,-1.33488072e-07,step_filament_voltages
1736469315.6124218,-2.79434072e-07,step_filament_voltages
1736469317.612511,-3.57359605e-07,step_filament_voltages
1736469319.6127737,-5.06262049e-08,step_filament_voltages
1736469321.6127279,-3.71325096e-07,step_filament_voltages
1736469323.6130614,-1.13854339e-07,step_filament_voltages
1736469325.6131415,-5.23166905e-08,step_filament_voltages
1736469327.6133947,-4.32725412e-07,step_filament_voltages
1736469329.613753,-3.91850307e-07,step_filament_voltages
1736469331.6137314,-2.50000546e-07,step_filament_voltages
1736469333.6139138,2.04584742e-07,step_filament_voltages
1736469335.6141033,-3.40506546e-07,step_filament_voltages
1736469337.6143723,-3.07517127e-07,step_filament_voltages
1736469339.6144984,-9.36989723e-08,step_filament_voltages
1736469341.6146092,-2.05690922e-08,step_filament_voltages
1736469343.6145961,-4.37746514e-07,step_filament_voltages
1736469345.614984,-2.61924631e-07,step_filament_voltages
1736469347.6150832,-1.61631525e-07,step_filament_voltages
1736469349.6152866,-2.92248745e-07,step_filament_voltages
1736469351.6153698,-1.48358706e-07,step_filament_voltages
1736469353.6154358,-3.96581161e-08,step_filament_voltages
1736469355.6157548,-2.10429002e-07,step_filament_voltages
1736469357.615836,-1.11411454e-08,step_filament_voltages
1736469359.615706,-1.9758799e-07,step_filament_voltages
1736469361.6161792,-3.36716662e-07,step_filament_voltages
1736469363.6162767,-5.66820487e-08,step_filament_voltages
1736469365.6162477,-1.706618e-08,step_filament_voltages
1736469367.616547,-2.86707011e-07,step_filament_voltages
1736469369.6167443,-1.51028381e-07,step_filament_voltages
1736469371.6170328,-2.25448282e-07,step_filament_voltages
1736469373.6171315,-4.82200801e-07,step_filament_voltages
1736469375.61725,-1.44251622e-07,step_filament_voltages
1736469377.6173947,-1.33740209e-07,step_filament_voltages
1736469379.6175656,-7.36141325e-08,step_filament_voltages
1736469381.617863,-4.10012462e-07,step_filament_voltages
1736469383.617868,-3.34217679e-07,step_filament_voltages
1736469385.61813,-3.96905932e-09,step_filament_voltages
1736469387.618272,-1.26670227e-07,step_filament_voltages
1736469389.618446,-2.47366513e-07,step_filament_voltages
1736469391.6187506,-1.92308465e-07,step_filament_voltages
1736469393.6186988,-4.54505865e-07,step_filament_voltages
1736469395.6189394,-4.94767959e-07,step_filament_voltages
1736469397.6191084,-1.73670538e-07,step_filament_voltages
1736469399.619276,7.6898157e-09,step_filament_voltages
1736469401.6192203,-3.65901379e-07,step_filament_voltages
1736469403.6195333,-2.13954697e-07,step_filament_voltages
1736469405.6197314,-9.158846e-08,step_filament_voltages
1736469407.620041,-1.60047812e-07,step_filament_voltages
1736469409.6200812,-4.63856821e-07,step_filament_voltages
1736469411.6202438,-3.32781708e-07,step_filament_voltages
1736469413.6203465,-4.31490395e-07,step_filament_voltages
1736469415.6205559,-8.96217941e-08,step_filament_voltages
1736469417.6208265,-4.35749229e-07,step_filament_voltages
1736469419.6208913,-3.15606547e-07,step_filament_voltages
1736469421.6211634,-9.712261e-08,step_filament_voltages
1736469423.6213605,-4.1734959e-07,step_filament_voltages
1736469425.6213496,-1.34723447e-07,step_filament_voltages
1736469427.6214375,-3.09622415e-07,step_filament_voltages
1736469429.6217685,-3.89305445e-07,step_filament_voltages
1736469431.6218524,-1.69022815e-07,step_filament_voltages
1736469433.6221166,-8.55086691e-08,step_filament_voltages
1736469435.6222649,-1.69852702e-07,step_filament_voltages
1736469437.622381,-2.07769821e-07,step_filament_voltages
1736469439.6220844,-5.9871507e-08,step_filament_voltages
1736469441.6227539,-3.99179452e-07,step_filament_voltages
1736469443.6229465,-1.09433545e-07,step_filament_voltages
1736469445.6231139,-4.82693316e-07,step_filament_voltages
1736469447.6230028,-2.4709792e-07,step_filament_voltages
1736469449.623543,-2.7929645e-07,step_filament_voltages
1736469451.6234045,3.4658839e-09,step_filament_voltages
1736469453.6236043,-1.90354117e-07,step_filament_voltages
1736469455.6237612,-1.90289545e-07,step_filament_voltages
1736469457.623983,-3.76157691e-07,step_filament_voltages
1736469459.6242583,4.31480298e-08,step_filament_voltages
1736469461.6241965,-3.42699576e-07,step_filament_voltages
1736469463.624388,-4.37320692e-07,step_filament_voltages
1736469465.6244502,-4.72425893e-07,step_filament_voltages
1736469467.6246092,-1.96116219e-07,step_filament_voltages
1736469469.6249733,-2.41574401e-07,step_filament_voltages
1736469471.625116,-1.02582929e-07,step_filament_voltages
1736469473.6252553,-4.45674935e-07,step_filament_voltages
1736469475.625363,-4.21858446e-07,step_filament_voltages
1736469477.6254134,-4.59246029e-07,step_filament_voltages
1736469479.6257298,-5.66098314e-07,step_filament_voltages
1736469481.6259344,-1.40659821e-07,step_filament_voltages
1736469483.6260958,-6.15946105e-07,step_filament_voltages
1736469485.6262686,-3.45029949e-07,step_filament_voltages
1736469487.6262646,-3.45088259e-07,step_filament_voltages
1736469489.626425,-3.14881876e-07,step_filament_voltages
1736469491.6267672,-2.30981711e-07,step_filament_voltages
1736469493.626951,-4.24528078e-07,step_filament_voltages
1736469495.6271398,-1.92694527e-07,step_filament_voltages
1736469497.6272867,-6.47851269e-07,step_filament_voltages
1736469499.6274264,-4.8158127e-07,step_filament_voltages
1736469501.627559,-2.8035135e-07,step_filament_voltages
1736469503.6277883,-5.59007283e-07,step_filament_voltages
1736469505.6280038,-3.22191605e-07,step_filament_voltages
1736469507.6279552,-2.24011404e-07,step_filament_voltages
1736469509.6280985,-3.62742502e-07,step_filament_voltages
1736469511.6283383,-7.20720949e-07,step_filament_voltages
1736469513.6286051,-4.12768677e-07,step_filament_voltages
1736469515.6289957,-2.44183873e-07,step_filament_voltages
1736469517.6287265,-2.91173971e-07,step_filament_voltages
1736469519.6291182,-6.53610898e-07,step_filament_voltages
1736469521.6292562,-4.65374906e-07,step_filament_voltages
1736469523.6294363,-4.62276583e-07,step_filament_voltages
1736469525.6295795,-2.63785276e-07,step_filament_voltages
1736469527.6297364,-5.00100725e-07,step_filament_voltages
1736469529.6297889,-5.78090756e-07,step_filament_voltages
1736469531.6301377,-5.32972504e-07,step_filament_voltages
1736469533.630077,-5.14111771e-07,step_filament_voltages
1736469535.6303847,-2.64134945e-07,step_filament_voltages
1736469537.6303205,-5.04341664e-07,step_filament_voltages
1736469539.630799,-9.16029007e-07,step_filament_voltages
1736469541.6310034,-5.1383922e-07,step_filament_voltages
1736469543.631117,-5.30131885e-07,step_filament_voltages
1736469545.631021,-7.38743887e-07,step_filament_voltages
1736469547.631428,-6.40026917e-07,step_filament_voltages
1736469549.6315057,-8.46423719e-07,step_filament_voltages
1736469551.6315546,-5.44446752e-07,step_filament_voltages
1736469553.6319208,-6.46695692e-07,step_filament_voltages
1736469555.6322196,-5.58981676e-07,step_filament_voltages
1736469557.6323497,-9.50604275e-07,step_filament_voltages
1736469559.6325057,-9.21841256e-07,step_filament_voltages
1736469561.6327174,-8.37373589e-07,step_filament_voltages
1736469563.6327145,-4.01289095e-07,step_filament_voltages
1736469565.633057,-5.87242586e-07,step_filament_voltages
1736469567.6330538,-6.26602717e-07,step_filament_voltages
1736469569.6334157,-3.89818374e-07,step_filament_voltages
1736469571.6333246,-5.6463377e-07,step_filament_voltages
1736469573.6336458,-6.62021981e-07,step_filament_voltages
1736469575.633767,-6.47531931e-07,step_filament_voltages
1736469577.6339612,-7.60955773e-07,step_filament_voltages
1736469579.6341677,-1.11874669e-06,step_filament_voltages
1736469581.6342552,-1.0956555e-06,step_filament_voltages
1736469583.6344063,-1.02979062e-06,step_filament_voltages
1736469585.6344342,-1.02204206e-06,step_filament_voltages
1736469587.6347246,-8.88180488e-07,step_filament_voltages
1736469589.6348193,-7.79437239e-07,step_filament_voltages
1736469591.6350722,-1.11181806e-06,step_filament_voltages
1736469593.6352098,-8.31235113e-07,step_filament_voltages
1736469595.6353598,-7.39542922e-07,step_filament_voltages
1736469597.6353862,-1.37657951e-06,step_filament_voltages
1736469599.6355247,-1.25807722e-06,step_filament_voltages
1736469601.6358151,-1.33610601e-06,step_filament_voltages
1736469603.6358666,-1.34714517e-06,step_filament_voltages
1736469605.6361234,-1.23359759e-06,step_filament_voltages
1736469607.6362305,-1.03873512e-06,step_filament_voltages
1736469609.63643,-1.07611984e-06,step_filament_voltages
1736469611.6366043,-1.3524289e-06,step_filament_voltages
1736469613.6367793,-1.37282445e-06,step_filament_voltages
1736469615.6368573,-1.28880508e-06,step_filament_voltages
1736469617.6370459,-1.68960739e-06,step_filament_voltages
1736469619.6373158,-1.6644776e-06,step_filament_voltages
1736469621.6374955,-1.59458486e-06,step_filament_voltages
1736469623.6375043,-1.8263779e-06,step_filament_voltages
1736469625.6377163,-1.47632019e-06,step_filament_voltages
1736469627.637927,-1.60421194e-06,step_filament_voltages
1736469629.6378317,-1.42021661e-06,step_filament_voltages
1736469631.6381757,-1.52780957e-06,step_filament_voltages
1736469633.638266,-1.55610124e-06,step_filament_voltages
1736469635.6384282,-1.79371358e-06,step_filament_voltages
1736469637.6385255,-2.3446503e-06,step_filament_voltages
1736469639.6386454,-2.15737727e-06,step_filament_voltages
1736469641.6388025,-2.44266169e-06,step_filament_voltages
1736469643.6390696,-2.27093696e-06,step_filament_voltages
1736469645.639268,-2.30540999e-06,step_filament_voltages
1736469647.6393867,-2.25014474e-06,step_filament_voltages
1736469649.6395102,-2.30829618e-06,step_filament_voltages
1736469651.639726,-2.16920701e-06,step_filament_voltages
1736469653.6399145,-1.78415748e-06,step_filament_voltages
1736469655.6400492,-2.58944426e-06,step_filament_voltages
1736469657.6402414,-2.80912315e-06,step_filament_voltages
1736469659.6404052,-2.81002466e-06,step_filament_voltages
1736469661.6405735,-3.32491522e-06,step_filament_voltages
1736469663.640627,-2.87792576e-06,step_filament_voltages
1736469665.6408987,-2.91968296e-06,step_filament_voltages
1736469667.6410248,-2.96811365e-06,step_filament_voltages
1736469669.6413038,-3.18856122e-06,step_filament_voltages
1736469671.641477,-2.87586131e-06,step_filament_voltages
1736469673.6415205,-2.93076918e-06,step_filament_voltages
1736469675.6416473,-3.0515969e-06,step_filament_voltages
1736469677.6418297,-4.04356156e-06,step_filament_voltages
1736469679.641842,-3.80164322e-06,step_filament_voltages
1736469681.6421528,-3.90928995e-06,step_filament_voltages
1736469683.6422775,-4.15340784e-06,step_filament_voltages
1736469685.6424072,-3.86535797e-06,step_filament_voltages
1736469687.642508,-3.73665635e-06,step_filament_voltages
1736469689.6427422,-3.79059167e-06,step_filament_voltages
1736469691.6427913,-3.70018656e-06,step_filament_voltages
1736469693.6430204,-3.92314556e-06,step_filament_voltages
1736469695.6431904,-3.55610044e-06,step_filament_voltages
1736469697.6432812,-5.40484683e-06,step_filament_voltages
1736469699.6435587,-5.16509445e-06,step_filament_voltages
1736469701.643622,-5.47398523e-06,step_filament_voltages
1736469703.6437752,-5.15890468e-06,step_filament_voltages
1736469705.6439965,-4.8958884e-06,step_filament_voltages
1736469707.644025,-5.27508084e-06,step_filament_voltages
1736469709.6442826,-5.37967013e-06,step_filament_voltages
1736469711.6445284,-5.15368615e-06,step_filament_voltages
1736469713.6447208,-5.30187606e-06,step_filament_voltages
1736469715.6448388,-5.38241172e-06,step_filament_voltages
1736469717.6451247,-6.84084033e-06,step_filament_voltages
1736469719.6452677,-7.29346645e-06,step_filament_voltages
1736469721.6454105,-7.09771985e-06,step_filament_voltages
1736469723.6455252,-6.58259972e-06,step_filament_voltages
1736469725.645754,-6.61981836e-06,step_filament_voltages
1736469727.6459284,-7.10817722e-06,step_filament_voltages
1736469729.6460526,-7.01797995e-06,step_filament_voltages
1736469731.6462562,-6.82265027e-06,step_filament_voltages
1736469733.6463764,-6.9131818e-06,step_filament_voltages
1736469735.6463153,-7.49127265e-06,step_filament_voltages
1736469737.6467543,-9.09143094e-06,step_filament_voltages
1736469739.646857,-8.90739551e-06,step_filament_voltages
1736469741.6471858,-9.28256783e-06,step_filament_voltages
1736469743.6472368,-9.08591526e-06,step_filament_voltages
1736469745.646999,-9.18925741e-06,step_filament_voltages
1736469747.6474512,-9.00289674e-06,step_filament_voltages
1736469749.6477928,-8.98207867e-06,step_filament_voltages
1736469751.6480312,-9.07290772e-06,step_filament_voltages
1736469753.6482987,-9.20739549e-06,step_filament_voltages
1736469755.648317,-9.67612909e-06,step_filament_voltages
1736469757.6483862,-1.1972375e-05,step_filament_voltages
1736469759.6486332,-1.17991959e-05,step_filament_voltages
1736469761.648969,-1.17905739e-05,step_filament_voltages
1736469763.6488867,-1.18873459e-05,step_filament_voltages
1736469765.6492274,-1.20697059e-05,step_filament_voltages
1736469767.6493134,-1.19834548e-05,step_filament_voltages
1736469769.6494246,-1.20985106e-05,step_filament_voltages
1736469771.6496103,-1.19311963e-05,step_filament_voltages
1736469773.6497765,-1.18822285e-05,step_filament_voltages
1736469775.6499567,-1.26298177e-05,step_filament_voltages
1736469777.650174,-1.57566612e-05,step_filament_voltages
